"generation","min_income","n","p","type"
"millennials",0,414000,0.0113830256255883,10000
"millennials",10000,3079000,0.0846578161864403,10000
"millennials",20000,7137000,0.196233463501989,10000
"millennials",30000,7910000,0.217487277049283,10000
"millennials",40000,5647000,0.155265569342263,10000
"millennials",50000,4272000,0.117459626745201,10000
"millennials",60000,2521000,0.0693154772997778,10000
"millennials",70000,1812000,0.0498213585351834,10000
"millennials",80000,1141000,0.0313720585478169,10000
"millennials",90000,632000,0.0173769859791589,10000
"millennials",100000,451000,0.0124003491718365,10000
"millennials",110000,295000,0.00811109313900613,10000
"millennials",120000,226000,0.00621392220140809,10000
"millennials",130000,193000,0.00530657957907859,10000
"boomers",0,500000,0.013613970468077,10000
"boomers",10000,1942000,0.052876661298011,10000
"boomers",20000,5622000,0.153075483943058,10000
"boomers",30000,7594000,0.206768983469153,10000
"boomers",40000,7225000,0.196721873263712,10000
"boomers",50000,5308000,0.144525910489105,10000
"boomers",60000,3692000,0.10052555793628,10000
"boomers",70000,2247000,0.061181183283538,10000
"boomers",80000,1192000,0.0324557055958955,10000
"boomers",90000,590000,0.0160644851523308,10000
"boomers",100000,297000,0.00808669845803773,10000
"boomers",110000,174000,0.00473766172289079,10000
"boomers",120000,84000,0.00228714703863693,10000
"boomers",130000,56000,0.00152476469242462,10000
"millennials",0,114000,0.00313445633168373,5000
"millennials",5000,301000,0.00827606452488422,5000
"millennials",10000,1071000,0.0294473923792392,5000
"millennials",15000,2008000,0.0552104238072011,5000
"millennials",20000,3045000,0.0837229783331311,5000
"millennials",25000,4092000,0.112510485168858,5000
"millennials",30000,4033000,0.110888266541057,5000
"millennials",35000,3877000,0.106599010508226,5000
"millennials",40000,3279000,0.0901568623823766,5000
"millennials",45000,2368000,0.0651087069598865,5000
"millennials",50000,2432000,0.0668684017425862,5000
"millennials",55000,1841000,0.0506187202335942,5000
"millennials",60000,1458000,0.0400880467683761,5000
"millennials",65000,1063000,0.0292274305314018,5000
"millennials",70000,969000,0.0266428788193117,5000
"millennials",75000,843000,0.0231784797158718,5000
"millennials",80000,631000,0.0173494907481792,5000
"millennials",85000,511000,0.0140500630306174,5000
"millennials",90000,375000,0.0103107116173807,5000
"millennials",95000,257000,0.00706627436177822,5000
"millennials",100000,234000,0.00643388404924554,5000
"millennials",105000,216000,0.00593896989161127,5000
"millennials",110000,155000,0.00426176080185068,5000
"millennials",115000,141000,0.00387682756813513,5000
"millennials",120000,89000,0.00244707555719168,5000
"millennials",125000,137000,0.00376684664421641,5000
"millennials",130000,118000,0.00324443725560245,5000
"millennials",135000,75000,0.00206214232347614,5000
"boomers",0,237000,0.00645302200186849,5000
"boomers",5000,263000,0.0071609484662085,5000
"boomers",10000,561000,0.0152748748651824,5000
"boomers",15000,1381000,0.0376017864328286,5000
"boomers",20000,2384000,0.0649114111917911,5000
"boomers",25000,3238000,0.0881640727512666,5000
"boomers",30000,3727000,0.101478535869046,5000
"boomers",35000,3867000,0.105290447600107,5000
"boomers",40000,3735000,0.101696359396535,5000
"boomers",45000,3490000,0.0950255138671774,5000
"boomers",50000,2766000,0.0753124846294019,5000
"boomers",55000,2542000,0.0692134258597034,5000
"boomers",60000,2063000,0.0561712421512857,5000
"boomers",65000,1629000,0.0443543157849948,5000
"boomers",70000,1348000,0.0367032643819356,5000
"boomers",75000,899000,0.0244779189016024,5000
"boomers",80000,734000,0.019985308647137,5000
"boomers",85000,458000,0.0124703969487585,5000
"boomers",90000,351000,0.00955700726859005,5000
"boomers",95000,239000,0.0065074778837408,5000
"boomers",100000,175000,0.00476488966382695,5000
"boomers",105000,122000,0.00332180879421079,5000
"boomers",110000,96000,0.00261388232987078,5000
"boomers",115000,78000,0.00212377939302001,5000
"boomers",120000,42000,0.00114357351931847,5000
"boomers",125000,43000,0.00117080146025462,5000
"boomers",130000,40000,0.00108911763744616,5000
"boomers",135000,16000,0.000435647054978464,5000
